First Payment Date,Maturity Date,Loan Amount,Zip,Property Value,Year Built,Net Operating Income,Effective Gross Income,Total Operating Expenses,Maintenance Expense,Parking Expense,Taxes Expense,Insurance Expense,Utilities Expense,Payroll Expense
2017-06-01,2037-05-01,0.0,11205,2742987.38,1905,145930.0,195008.99,41593.12,5835.67,0.0,9436.46,2315.41,2837.22,7525.23
2017-07-01,2037-06-01,1266169.72,11385,1973582.69,1930,88478.67,119852.21,35805.39,2986.09,0.0,12102.92,3370.26,5544.43,2020.71
2017-05-01,2029-04-01,2245639.39,21216,3180516.55,1965,179469.23,369608.93,188355.53,37646.56,0.0,27632.85,9970.64,19454.38,31766.79
2017-07-01,2037-06-01,1848138.27,11237,2492967.38,1914,116038.47,133097.67,11747.81,4289.87,0.0,0.0,0.0,586.21,0.0
2016-08-01,2026-07-01,33618947.01,32825,43598626.4,1990,2556932.16,4357874.55,1894150.01,342512.98,0.0,507497.37,113689.08,69336.64,459275.07
2017-07-01,2027-06-01,3079445.83,90042,5589272.56,1988,49774.58,154610.76,100717.94,11865.32,0.0,42696.83,12994.94,7107.04,0.0
2017-07-01,2027-06-01,26895105.82,71105,35763383.26,1969,2460663.56,4466627.66,2060360.97,288152.79,0.0,240448.87,85648.39,495963.41,621138.07
,,0.0,94117,3255248.75,1954,121955.91,172146.05,53158.02,17448.09,0.0,13258.43,4852.59,2374.02,0.0
2017-06-02,2037-05-02,0.0,11101,9027557.32,2015,306925.15,490187.58,192616.18,14610.68,0.0,117299.6,6474.35,16090.23,7216.09
2017-07-01,2037-06-01,0.0,02136,2250171.54,1970,123981.64,190241.78,68935.33,12415.31,0.0,19910.83,6965.65,9294.43,0.0
2017-08-01,2027-07-01,0.0,,28658248.52,"2010, 2015",1592183.09,2727493.82,1027728.95,173135.64,0.0,204443.59,64381.49,40245.35,250711.02
2017-06-15,2037-05-15,0.0,11233,Error,,125143.64,216721.66,96575.95,7156.92,0.0,32509.19,5834.59,16839.6,8111.38
2017-07-01,2037-06-01,4599499.5,60091,9666546.59,1960,538813.84,935652.51,414323.51,94986.78,0.0,104660.0,38895.86,31240.94,63185.27
2017-06-16,2037-05-16,0.0,11216,5558549.65,1931,312205.93,352045.38,49869.67,5422.73,0.0,11265.83,7805.81,2501.03,4036.67
2017-02-01,2027-01-01,15773496.87,27106,21797024.02,1983,1289794.21,2899651.84,1669147.2,367916.73,0.0,159144.94,66235.29,263495.73,560252.85
2017-04-01,2027-03-01,29099449.59,75206,42003314.84,2009,2343074.39,4114516.91,1773837.57,160321.24,0.0,894370.04,29421.99,26138.93,276650.92
2017-05-01,2027-04-01,3151458.44,60613,4341143.5,1929,60737.61,112015.35,52408.24,19272.37,0.0,0.0,0.0,19304.73,0.0
2017-04-01,2027-03-01,1629067.28,49508,2526285.83,1979,185238.22,415334.8,233960.14,40448.78,2018.09,41682.22,20108.92,23585.62,57852.75
2017-05-01,2037-04-01,2527095.92,11206,4047867.45,1920,214497.39,259217.88,36128.15,4448.15,0.0,7384.57,5059.18,1171.24,3030.42
2017-05-01,2024-04-01,10691839.61,08070,13332187.64,1976,892120.08,2056526.66,1141408.33,173225.43,0.0,315068.2,41485.81,120361.95,179860.42
2017-06-01,2027-05-01,4079341.49,02118,6456729.17,1905,303746.18,366920.36,75554.47,15975.57,0.0,27647.16,3623.25,12386.09,0.0
2017-06-01,2027-05-01,963726.79,90008,1408854.83,1952,76468.59,109730.45,34982.74,7386.81,0.0,12660.24,3195.88,5892.71,0.0
2017-06-01,2027-05-01,3289309.49,02446,5124232.11,1909,240580.7,319982.67,81424.32,10589.88,0.0,31180.0,3639.44,24272.18,0.0
2016-08-01,2026-07-01,29623965.75,30092,41885439.22,1973,2367118.6,4335168.65,2068128.41,397959.24,0.0,229923.55,78933.79,176514.2,507378.97
2017-07-01,2022-06-01,1492042.92,60613,1938033.26,1900,39589.52,39698.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,2037-04-01,3632794.55,11385,4821672.32,2016,235558.3,275346.46,32417.45,4245.79,7362.99,3930.48,4071.23,1314.79,3458.88
2017-05-01,2024-04-01,10282089.03,08021,12970530.22,1975,818311.59,2041298.14,1239894.52,188887.35,0.0,319070.98,49537.3,109899.03,198759.87
2017-07-01,2027-06-01,5003061.42,79912,8788407.91,1973,580226.45,1289252.98,731475.33,110394.17,678.66,175423.83,14093.74,79510.76,233277.46
2017-07-01,2027-06-01,18801703.4,43224,24588074.4,1969,1732389.58,4192275.0,2426128.7,511314.83,0.0,200818.13,111675.35,566091.57,661810.7
2017-08-01,2027-07-01,0.0,75287,29510952.75,1984,1899088.43,3249516.23,1281815.78,185018.72,0.0,376979.98,81727.07,134652.54,307682.25
2017-07-01,2024-06-01,0.0,08110,11035333.0,1950,962827.66,1508792.14,543574.08,54517.9,0.0,173752.41,51196.93,85216.85,71477.3
2017-07-01,2024-06-01,0.0,75219,9902558.39,1972,593611.69,1245069.68,672695.46,79773.31,0.0,119891.14,20329.88,208867.04,129683.29
2017-01-01,2026-12-01,9754315.94,77080,14800854.23,1979,927344.6,1918528.19,964416.18,102625.28,26014.6,198844.48,84483.3,42700.68,309786.94
2013-03-01,2023-02-01,2779757.47,15068,3787060.51,1973,295396.07,707828.83,417175.94,73393.66,0.0,93755.57,19192.62,30080.41,55870.9
2017-05-01,2037-04-01,1773230.08,11215,2782242.78,1931,127356.73,174521.7,41027.45,4090.16,0.0,8920.45,5335.62,6201.61,3931.56
2017-06-01,2022-05-01,4099613.27,77057,6873387.5,1970,412814.39,1167622.0,757382.28,70551.75,14130.22,120982.79,48992.97,117422.89,183734.86
2017-02-01,2027-01-01,19982224.78,75067,26017053.07,1983,1664359.62,2958637.23,1236954.3,248371.2,16666.4,315606.06,38182.29,51212.02,374352.65
2017-05-01,2032-04-01,2643778.68,60624,4704028.92,1914,369055.11,594254.65,230706.0,53944.92,0.0,38373.54,11919.45,27202.24,21379.69
2017-06-25,2037-05-25,0.0,11238,2995259.38,1931,157124.01,189841.02,35771.56,3886.72,0.0,67.46,4555.55,4132.88,4103.18
2017-06-01,2027-05-01,1136244.87,90008,1596665.56,1953,87982.18,133103.66,40319.3,8781.21,0.0,14684.34,3425.24,1247.35,0.0
2017-05-01,2027-04-01,3094156.21,46227,4532132.73,1962,261904.02,579777.69,337608.92,69167.7,133.43,43660.31,29109.66,32243.63,87680.02
2017-06-01,2027-05-01,3643673.86,02135,5862782.54,1920,259993.93,389380.74,113980.33,23190.26,0.0,27988.64,4775.16,39493.61,0.0
2017-06-01,2037-05-01,4471575.37,02148,6022169.48,1938,348701.34,498469.77,153670.52,29309.84,0.0,42464.3,11969.34,25461.12,0.0
2016-11-01,2026-10-01,31084451.11,85085,46688586.91,2009,2244013.71,3558958.37,1298258.08,158961.56,0.0,294574.87,59186.87,86402.53,350374.52
2017-07-03,2027-06-03,0.0,64129,28523089.61,1969,1553575.7,3519107.03,2025812.81,462911.51,0.0,213155.2,101123.86,161894.15,477177.62
,,0.0,75236,36475296.92,1985,2608926.48,5116603.64,2434783.16,280821.64,0.0,491018.21,79579.43,624440.71,691910.28
2017-02-01,2027-01-01,27098502.29,76039,35533654.55,1984,2048035.72,4065511.31,1953440.37,270966.46,9553.29,694105.48,63655.6,37268.09,394366.57
2016-07-01,2026-06-01,14475083.23,30060,18605332.9,1985,1000254.01,1836134.49,834959.01,127628.61,0.0,93568.06,47612.36,44679.45,264909.07
2017-07-01,2022-06-01,0.0,80905,2449117.21,1965,161880.46,264962.59,114672.46,33452.8,0.0,6767.07,14385.75,17174.63,5184.17
2017-07-01,2037-06-01,0.0,11206,3470770.95,1899,198957.43,217969.41,26790.04,4191.87,0.0,0.0,4075.64,1231.82,3997.14
2017-06-01,2027-05-01,0.0,77078,4656018.6,1979,362016.66,996128.12,676484.04,108442.14,0.0,61178.99,50507.91,41812.63,214492.3
2017-05-26,2037-04-26,0.0,11237,1867034.87,1912,77032.66,119171.81,39823.78,4311.46,0.0,15001.63,3553.5,4975.06,2659.92
